predictor,mea,sdt,mini,maxi
area,4.373,11.896,0.045,198.433
artifical,0.002,0.01,0,0.364
Circularit,0.467,0.134,0.056,0.893
Elevation,0.504,0.098,0.084,0.834
Elongation,0.56,0.154,0.037,1.916
extent,0.107,0.111,0,1
forest,0.632,0.252,0,1
h_mean,994.965,484.035,177.539,3059.41
Melton,0.59,0.415,0.025,2.766
patchdensity,6.452,6.004,0.055,64.572
type,0.734,0.327,0,1
