"id","prozessart","ikw","bundesland","ezg","ereignis_jahr","ereignis_monat","ereignis_Tag","punkt_x","punkt_y","WLK_ID"
513,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Edergraben",1999,7,NA,567024,464846,"102137"
515,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Windbichlbach",1999,7,NA,566618,463974,"112072"
516,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Entzfeldgraben",1999,7,NA,567068,463646,"102136"
519,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Sonnleitgraben",1999,7,NA,565814,463752,"102134"
586,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Zögersbach",1991,5,17,565860,457416,"102051"
555,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Laabgraben",1997,7,7,590680,460212,"102139"
557,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Hallbach",1996,10,22,578117,453300,"102109"
574,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Habernreitgraben",1991,NA,NA,569791,461136,"102062"
576,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Jungherrntalbach",2001,7,1,567883,460276,"102058"
595,"Murartiger Feststofftransport","Mittel","Niederösterreich","Leitnergraben",1997,6,30,584376,459468,"102095"
597,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Ramsaubach",1997,7,7,586071,457011,"102092"
10,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Hochbach",1999,NA,NA,507984,474022,"101658"
51,"Murgang","Gering","Niederösterreich","Hammerbach",1980,NA,NA,510079,429852,"101269"
151,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Grestenberggraben",1982,8,NA,513646,450345,"101677"
152,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Haselgrabenbach",2000,8,NA,519438,452105,"101657"
162,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Reingrubergraben",2002,NA,NA,508971,451588,"101692"
164,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Buchenberggraben",2002,NA,NA,508103,451440,"101693"
165,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Eibenberggraben",2002,NA,NA,510236,450041,"101685"
170,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Lerchbach",2002,NA,NA,508653,453451,"112049"
175,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Reisbachriengraben",2002,NA,NA,507342,453265,"101709"
184,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Tiefenbach",2002,NA,NA,506200,453075,"101711"
186,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Waldhofgraben",2002,NA,NA,510078,450577,"101686"
195,"Murgang","Gering","Niederösterreich","Pechtaschengraben",2002,3,21,530986,449527,"101839"
196,"Murgang","Gering","Niederösterreich","Pechtaschengraben",2002,5,13,530986,449527,"101839"
201,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Mendlingbach",1996,1,NA,515117,429474,"105581"
230,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Grabnerbach",1984,8,24,524354,457619,"101904"
231,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Grabnerbach",1984,8,26,524354,457619,"101904"
232,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Grabnerbach",1982,7,22,524354,457619,"101904"
233,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Grabnerbach",1991,8,3,524354,457619,"101904"
237,"Murgang","Mittel","Niederösterreich","Schönleitengraben",2000,9,NA,524246,457665,"101907"
238,"Murgang","Gering","Niederösterreich","Bodingbach",1991,12,23,525318,442865,"101266"
308,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Ewixenbach",1986,4,NA,529990,455734,"101260"
345,"Murgang","Mittel","Niederösterreich","Reifgraben",1991,7,28,539036,452190,"101856"
388,"Murartiger Feststofftransport","Mittel","Niederösterreich","Gossambach",2002,NA,NA,548340,486780,"101256"
407,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Rottenhofbach",1981,8,NA,531045,479024,"100996"
416,"Fluviatiler Feststofftransport","Stark","Niederösterreich","Mühlbach",2004,7,23,540046,482460,"100680"
419,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Ebersdorfergraben",2004,7,23,542836,482485,"101985"
425,"Fluviatiler Feststofftransport",NA,"Niederösterreich","Marbach",2005,6,13,534987,482039,"100658"
440,"Fluviatiler Feststofftransport","Stark","Niederösterreich","Artnerbach",2005,6,13,524993,482729,"101569"
446,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Unterer Thanngraben",2002,NA,NA,534697,492656,"100724"
448,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Wehrbach",1997,NA,NA,544205,495311,"100840"
449,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Wehrbach",1999,NA,NA,544205,495311,"100840"
450,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Wehrbach",2002,NA,NA,544205,495311,"100840"
611,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Rothedelbach",1991,8,3,580760,464033,"102107"
614,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Hasenmühlgraben",1996,10,NA,571324,459944,"101384"
1228,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Wasserfallgraben",1988,NA,NA,409436,434775,"102930"
1229,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Wasserfallgraben",1989,NA,NA,409436,434775,"102930"
1230,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Wasserfallgraben",1990,NA,NA,409436,434775,"102930"
1231,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Wasserfallgraben",1991,NA,NA,409436,434775,"102930"
1232,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Wasserfallgraben",1992,NA,NA,409436,434775,"102930"
1235,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Wasserfallgraben",1986,NA,NA,409436,434775,"102930"
1242,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Zettelmühlbach",1983,NA,NA,412812,436012,"103234"
1243,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Zettelmühlbach",1987,NA,NA,412812,436012,"103234"
1256,"Fluviatiler Feststofftransport","Gering","Oberösterreich","nördl. Hochkreuthgraben",2000,8,6,418310,443708,"102785"
1266,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Weyreggerbach",1987,9,NA,422222,443105,"102875"
1279,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Weyreggerbach",2001,8,18,418982,445383,"102875"
1316,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Schaunburggraben",2008,8,22,447349,493798,"103451"
1324,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Pulvermühlbach",1994,NA,NA,447784,492100,"102592"
1325,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Pulvermühlbach",1993,NA,NA,447784,492100,"102592"
1327,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Sandbach",1985,NA,NA,445773,492273,"102586"
1328,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Pulvermühlbach",2008,8,22,447784,492100,"102592"
1329,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Klausbach",2008,6,8,493997,502370,"102564"
1332,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Stampfenbach",1996,4,30,498571,507011,"102565"
638,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Wiesenbach",1989,8,NA,572236,458224,"102124"
640,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Wiesenbach",1996,10,NA,572236,458224,"102124"
642,"Fluviatiler Feststofftransport","Stark","Niederösterreich","Wiesenbach",1997,7,NA,573055,458684,"102124"
666,"Murgang","Mittel","Niederösterreich","Winklergraben",1999,7,10,570114,462061,"102065"
668,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Anthofgraben",1986,6,19,559832,450380,"102003"
674,"Fluviatiler Feststofftransport","Stark","Niederösterreich","Kräuterbach",1997,7,NA,565559,452258,"102017"
676,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Klosteralpengraben",1986,NA,NA,568048,455315,"102048"
682,"Murgang","Mittel","Niederösterreich","Türnitzer Traisen",1989,7,13,560410,446947,"101998"
726,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Ritzinger Gießgraben",1991,8,NA,381006,462713,"103051"
735,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Thalhauserbach",1991,8,NA,377718,459588,"103645"
740,"Murartiger Feststofftransport","Mittel","Oberösterreich","Fuchsgießgraben",1990,6,14,363591,472956,"102751"
758,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Hack- und Kalixgraben",1991,NA,NA,359736,463684,"102734"
759,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Hack- und Kalixgraben",1996,NA,NA,359736,463684,"102734"
774,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Bachgraben",1991,8,NA,379812,458554,"102745"
782,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Holzbach",1996,6,9,423421,473537,"102716"
783,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Trattnach-OL",1996,6,9,423153,472052,"102718"
789,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Aubach",1996,6,9,422914,474690,"102715"
800,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Fallaubach",1997,7,18,428025,511386,"102708"
802,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Mühlbauerngraben",1997,7,18,426127,512964,"102704"
804,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Rannabach",1997,7,NA,432080,507708,"102695"
805,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Rollreithbach",1997,7,18,425820,513111,"102709"
809,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Sausender Bach",1997,7,18,428201,510352,"102707"
817,"Murartiger Feststofftransport","Mittel","Oberösterreich","Wiesingerbachl",1996,NA,NA,414044,520147,"102681"
821,"Murgang",NA,"Oberösterreich","Kenadingerbach",1985,8,16,424393,503068,"102694"
829,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Teufelsbach",1997,8,NA,423707,514477,"102669"
836,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Altmannbach",2003,3,NA,409796,512172,"102800"
838,"Murartiger Feststofftransport","Stark","Oberösterreich","Hofmeistergraben",1985,5,17,409056,511259,"102764"
839,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Hofmeistergraben",1990,6,13,409056,511259,"102764"
841,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Kaserbach",2002,3,NA,409964,512717,"102799"
842,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Kaserbach",2002,8,NA,409964,512717,"102799"
844,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Kickingerbach",2002,3,NA,410012,513322,"102796"
853,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Schafbergerbach",2003,3,NA,410112,513641,"102795"
855,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Schafbergerbach",2002,3,NA,410112,513641,"102795"
864,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Mühlbach",1987,3,NA,414775,447086,"102656"
866,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Mühlbach",2002,5,4,414425,447204,"102656"
868,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","nördl. Neustiftgraben",1996,6,1,415507,447129,"162885"
873,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Mühlbach",2001,12,20,413558,447250,"102656"
932,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Leitenbach",1983,7,7,404188,438599,"102638"
1355,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Landshuterbach",1986,8,NA,508816,508469,"102476"
950,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Wangauer Ache",1987,9,5,406651,437960,"103117"
963,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Dexelbach",1981,NA,NA,412563,439992,"102621"
964,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dexelbach",1986,NA,NA,412563,439992,"102621"
990,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Zellerbach",1983,8,25,414114,440697,"102622"
1007,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Wangauer Ache",2001,5,6,408426,441121,"103117"
1013,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Wangauer Ache",1987,NA,NA,407734,442079,"103117"
1036,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Konsumgraben",1996,NA,NA,418927,447125,"102323"
1038,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Teichlbach",1996,6,1,419589,448236,"102345"
1093,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Kienbach",1987,9,5,418921,438723,"103499"
1095,"Murartiger Feststofftransport","Extrem","Oberösterreich","Mahdschneidergraben",1995,4,15,416563,435057,"103433"
1119,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Weißenbach",1991,8,NA,418746,431987,"102721"
1126,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Dürre Ager Oberlauf",1983,8,25,409968,444657,"102617"
1128,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dürre Ager Oberlauf",2001,5,7,409968,444657,"102617"
1139,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dürre Ager Oberlauf",1991,8,1,408168,445272,"102617"
1140,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Dürre Ager Oberlauf",1996,6,1,408168,445272,"102617"
1142,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dürre Ager Oberlauf",1990,8,NA,408860,445852,"102617"
1143,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dürre Ager Oberlauf",1991,7,17,408860,445852,"102617"
1144,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dürre Ager Oberlauf",1983,NA,NA,410741,445118,"102617"
1153,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Klausbach",1991,NA,NA,407594,447118,"102600"
1154,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Mühlbach",1991,NA,NA,413687,446524,"102656"
1160,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Dürre Ager Oberlauf",1991,NA,NA,408572,445620,"102617"
1161,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Klausbach",1991,NA,NA,407188,446252,"102600"
1168,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Ritzingerbach",1991,NA,NA,398133,441054,"103289"
1169,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Schleifenbach",1991,8,NA,400187,438801,"102783"
1191,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Landgraben",1983,NA,NA,409960,434736,"102963"
1192,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Landgraben",1986,8,17,409960,434736,"102963"
1202,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Oberleitnergraben",1985,NA,NA,408796,434544,"102919"
1205,"Murartiger Feststofftransport",NA,"Oberösterreich","Oberleitnergraben",1986,NA,NA,408796,434544,"102919"
1227,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Wasserfallgraben",1987,NA,NA,409436,434775,"102930"
1374,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Arbingerbach",1996,NA,NA,502140,482894,"102458"
1375,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Arbingerbach",2002,NA,NA,502140,482894,"102458"
1384,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Dimbach",2005,NA,NA,517697,487182,"102452"
1387,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dornacherbach",1989,NA,NA,511639,479556,"102448"
1388,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dornacherbach",1991,NA,NA,511639,479556,"102448"
1389,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Dornacherbach",1993,NA,NA,511639,479556,"102448"
1391,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Kreuzenerbach",2007,9,5,511278,484464,"102444"
1392,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Greinerbach",2007,9,5,513479,482562,"102447"
1406,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Mühlbach",2005,6,16,480124,487118,"102431"
1407,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Mühlbach",2005,6,28,480124,487118,"102431"
1411,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Steiningerbachl",1986,5,14,480040,486460,"102432"
1412,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Steiningerbachl",1990,NA,NA,480040,486460,"102432"
1420,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Klausbach",2000,NA,NA,493997,502370,"102564"
1421,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Klausbach",2002,NA,NA,493997,502370,"102564"
1422,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Klausbach",2005,NA,NA,493997,502370,"102564"
1472,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Daimbach",2003,7,23,447869,513860,"103556"
1477,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Lanitzbach",1997,7,11,455084,521078,"102382"
1478,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Lanitzbach",1997,7,18,455084,521078,"102382"
1483,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Holzmühlbach",1997,7,18,458690,517990,"102358"
1484,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Holzmühlbach",1998,7,25,458690,517990,"102358"
1487,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Grabenbach",2002,NA,NA,449963,508758,"102335"
1490,"Murgang","Extrem","Oberösterreich","Dandlgraben",1997,7,18,429464,513429,"103564"
1491,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Hölldobelgraben",1997,7,18,430721,511335,"102313"
1493,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Grubbergbach",1997,7,18,431218,516967,"102320"
1494,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Haichenbachleiten",1993,6,11,440677,505656,"153522"
1495,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Haichenbachleiten",1993,6,11,439959,505917,"153522"
1496,"Murgang",NA,"Oberösterreich","Haichenbachleiten",2007,7,19,439959,505917,"153522"
1501,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Kirchbacherbachl",2002,NA,NA,443117,525400,"102318"
1502,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Seidlbach",2001,NA,NA,434565,512044,"102370"
1503,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Brummermühlbach",1989,NA,NA,459997,512560,"102357"
1507,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Diesenbach",2002,NA,NA,449951,505251,"102333"
1518,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Hammerbach",2007,6,11,446469,531185,"102348"
1527,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Freudensteinerbach",2006,7,9,456890,496110,"103516"
1528,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Freudensteinerbach",1985,NA,NA,456890,496110,"103516"
1530,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Reutergraben",2006,7,10,454843,497121,"103513"
1531,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Tiefenbach",2002,8,12,454575,498521,"103445"
1536,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Eschlbach",2002,8,NA,458843,497091,"103497"
1538,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Eschlbach",2002,8,NA,458426,498496,"103497"
1540,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Raml-Mühlbach",1996,4,NA,461634,505265,"103498"
1541,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Haselgraben",2002,8,22,470929,497898,"103434"
1547,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Haselgraben",2007,12,NA,470929,497898,"103434"
1552,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Mitterfeldbach",2005,9,12,462711,506776,"103496"
1553,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Leutgebbach",1991,8,5,468410,491128,"102575"
1554,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Rehgrabenbach",1991,8,5,468057,491173,"103486"
1557,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Finstergraben",1991,7,17,476865,488970,"103472"
1558,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Hasenbergrunse",1991,7,17,478364,487820,"103471"
1566,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Burgbach",2005,9,12,466913,505971,"103493"
1568,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Forstbach",2005,9,12,468286,506618,"103463"
1340,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Tiefenbachl",1986,NA,NA,504901,509740,"102554"
1343,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Flanitzbach",1997,7,18,494406,507375,"102563"
1348,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Grieblerbach",2002,8,NA,489916,506697,"102551"
1351,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Kreilenbach",1996,4,30,485244,503089,"102508"
1352,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Kreilenbach",2000,8,6,485244,503089,"102508"
2187,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Schröckerbauerngraben",1998,NA,NA,475614,419778,"103332"
3194,"Murgang",NA,"Steiermark","Schlatenbach",2000,6,4,440018,389921,"104961"
3201,"Murgang",NA,"Steiermark","Wörschachbach",1985,NA,NA,458622,408030,"107294"
3202,"Fluviatiler Feststofftransport",NA,"Steiermark","Grimmingbach",1996,10,NA,453683,406153,"106291"
2076,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Steyrlingbach",2002,8,12,456940,433368,"103393"
2077,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Steyrlingbach",1997,3,19,456940,433368,"103393"
2078,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Steyrlingbach",1997,6,5,456940,433368,"103393"
2084,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Steyrlingbach",1996,NA,NA,456940,433368,"103393"
2087,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Vinsgassenbach",2002,NA,NA,460971,438652,"103390"
2088,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Kremseggerbach",1991,6,27,460797,460955,"103222"
2089,"Murartiger Feststofftransport","Stark","Oberösterreich","Wohlmutgraben",1991,6,27,459320,462930,"103388"
2094,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Krems Oberlauf",2001,5,17,460466,441468,"103384"
2103,"Murgang","Stark","Oberösterreich","Thurnhamgraben",1998,3,16,458214,442074,"103385"
2107,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Gradenbach",2002,8,12,460117,443146,"103382"
2108,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Gradenbach",2001,5,17,460117,443146,"103382"
2109,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Krems Oberlauf",2002,8,12,460124,441570,"103384"
2110,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Krems Oberlauf",2001,5,17,460466,441468,"103384"
2111,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Ottsdorfergraben",2002,8,12,457823,443320,"103218"
2112,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Vinsgassenbach",2001,5,17,460802,440033,"103390"
2123,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Krumme Steyrling",1981,8,NA,475629,439703,"103379"
2133,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Effertsbach",2002,8,12,465300,437126,"103373"
2134,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Griesbauerngraben",2002,8,12,466820,441147,"103376"
2135,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Krumme Steyrling",1996,9,14,475629,439703,"103379"
2136,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Krumme Steyrling",2002,8,12,475629,439703,"103379"
2138,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Mollnerbach",2004,5,31,470022,441567,"103377"
2139,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Mollnerbach",2002,8,12,470022,441567,"103377"
2140,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Paltenbach",1996,10,21,469176,438630,"103374"
2141,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Paltenbach",1996,9,14,469176,438630,"103374"
2142,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Paltenbach",2002,8,12,469176,438630,"103374"
2144,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Moserbach",2002,8,12,460213,454913,"103368"
2149,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Nußbach",2000,8,3,461292,451818,"103307"
2150,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Nußbach",2002,8,12,461292,451818,"103307"
2151,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Sulzbach",2002,8,12,464276,453063,"103159"
2159,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Dambach",1996,6,29,483149,421274,"103136"
2160,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Dambach",1996,8,2,483149,421274,"103136"
2165,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Hinterer Rettenbach",2002,8,12,472535,428250,"103354"
2166,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Laimingergraben",2002,8,12,469482,427015,"103353"
2170,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Pießlingbach",2002,8,12,469797,424701,"103355"
2175,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Käfergraben",2002,8,12,460296,449390,"103131"
2213,"Fluviatiler Feststofftransport","Mittel","Oberösterreich","Palmgraben",1997,7,5,466524,428372,"103349"
2214,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Palmgraben",2002,8,12,466524,428372,"103349"
2218,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Schalchgraben",2002,8,12,465724,428612,"103350"
2232,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Steinbach",2002,8,12,453033,443646,"103110"
2237,"Murgang","Extrem","Oberösterreich","Forstaubach",1987,9,3,470640,449006,"103298"
2249,"Fluviatiler Feststofftransport",NA,"Oberösterreich","Haslgraben",1991,8,NA,471070,453849,"103123"
2254,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Ahbach",2002,8,12,471751,454717,"103294"
2255,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Färbergraben",2002,8,12,470584,451719,"103120"
2256,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Forstaubach",2002,8,12,470640,449006,"103298"
2257,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Forstaubach",2002,3,20,470640,449006,"103298"
2258,"Fluviatiler Feststofftransport","Gering","Oberösterreich","Forstaubach",2000,8,6,470640,449006,"103298"
2263,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Pießlingbach",1997,NA,NA,469614,423575,"103355"
2271,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Bogenmüllerbach",2002,8,12,457704,455707,"103209"
2272,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Höllgraben",2002,8,12,457398,453905,"103211"
2273,"Fluviatiler Feststofftransport","Extrem","Oberösterreich","Hummelbach",2002,8,12,457489,454845,"103210"
3208,"Fluviatiler Feststofftransport",NA,"Steiermark","Mandlingbach",2002,8,11,419949,391809,"104590"
1588,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Ebenzweierbach",1987,9,5,431337,444519,"103083"
1613,"Fluviatiler Feststofftransport","Stark","Oberösterreich","Viehbach",1987,9,5,431861,447061,"103099"
