"id","prozessart","ikw","bundesland","ezg","ereignis_jahr","ereignis_monat","ereignis_Tag","punkt_x","punkt_y","WLK_ID"
27260,"Murgang",NA,"Kärnten","Gösseringbach im Gitschtal",2008,8,2,392691,310019,"107669"
27261,"Fluviatiler Feststofftransport",NA,"Kärnten","Ladinigbach im Mölltal",2008,7,31,394481,333685,"108336"
27264,"Fluviatiler Feststofftransport",NA,"Tirol","Gleiersbach",2008,7,30,350562,322146,"108793"
27265,"Murartiger Feststofftransport",NA,"Kärnten","Melissniggrabenbach",2008,7,31,394649,333526,"108337"
27266,"Murgang",NA,"Tirol","Egger Bach",2008,8,8,258241,349533,"108951"
27270,"Fluviatiler Feststofftransport",NA,"Steiermark","Ratschfeldbach",2008,7,29,455556,362808,"105921"
27271,"Fluviatiler Feststofftransport",NA,"Steiermark","Mattlbach",2008,7,29,456616,362755,"105935"
27275,"Fluviatiler Feststofftransport",NA,"Steiermark","Hintereggerbach",2008,7,29,468032,368294,"106626"
27277,"Fluviatiler Feststofftransport",NA,"Kärnten","Stockenboierbach",2008,8,15,415952,314148,"108445"
27278,"Fluviatiler Feststofftransport",NA,"Kärnten","Schwarzenbach im Gitschtal",2008,8,15,393327,309145,"107668"
27279,"Fluviatiler Feststofftransport",NA,"Kärnten","Kirchenrauthbach",2008,8,15,394132,309121,"107667"
27280,"Fluviatiler Feststofftransport",NA,"Kärnten","Worontbach",2008,8,15,396965,307571,"107662"
27281,"Fluviatiler Feststofftransport",NA,"Kärnten","Baierbach",2008,8,15,398457,306811,"107659"
27282,"Fluviatiler Feststofftransport",NA,"Kärnten","Steinachbach",2008,8,15,399562,307891,"107653"
27283,"Fluviatiler Feststofftransport",NA,"Kärnten","Gurschlerbachl",2008,8,15,386750,305431,"108373"
27284,"Fluviatiler Feststofftransport",NA,"Kärnten","Stockenboierbach",2008,8,15,412529,308866,"108445"
27285,"Fluviatiler Feststofftransport",NA,"Kärnten","Bazorbach",2008,8,15,393354,309440,"107670"
27286,"Fluviatiler Feststofftransport",NA,"Kärnten","Deberbach im Gitschtal",2008,8,15,398839,306361,"107658"
27287,"Fluviatiler Feststofftransport",NA,"Kärnten","Weberlochbach",2008,8,15,405461,303828,"152414"
27289,"Fluviatiler Feststofftransport",NA,"Tirol","Grünerbach",2008,8,8,253812,347749,"109947"
27290,"Murgang",NA,"Tirol","Grabenbach",2008,8,23,258203,349696,"110036"
27291,"Fluviatiler Feststofftransport",NA,"Tirol","Gschnitzernbach",2008,8,8,259641,352586,"109904"
27293,"Fluviatiler Feststofftransport",NA,"Salzburg","Voidersdorfergraben",2008,7,29,429483,356373,"104122"
27294,"Fluviatiler Feststofftransport",NA,"Kärnten","Breitenbergerbach",2008,8,15,400679,304829,"108307"
27296,"Fluviatiler Feststofftransport",NA,"Kärnten","Primasbach",2008,8,15,394627,302984,"108174"
27297,"Fluviatiler Feststofftransport",NA,"Kärnten","Gösseringbach im Gitschtal",2008,8,15,394485,310245,"107669"
27298,"Fluviatiler Feststofftransport",NA,"Kärnten","Paludniggraben",2008,8,15,397605,307385,"107660"
27300,"Murgang",NA,"Tirol","Kristeinbach",2008,9,12,341190,323930,"108653"
27301,"Fluviatiler Feststofftransport",NA,"Kärnten","Zweinitzbach",2008,9,12,468041,330951,"107931"
27303,"Fluviatiler Feststofftransport",NA,"Kärnten","Obermühlbach",2008,9,12,473542,321690,"107897"
