process,null,general,general_geomorph,general_geomorph_forest,general_geomorph_forest_disturbances
Debris flow,-3393.66 (NA),-3032.67 (360.98±27.1),-3004.51 (28.16±8.64),-2990.22 (14.29±5.55),-2975.48 (14.74±5.66)
Flood,-6222.59 (NA),-5871.83 (350.75±28.96),-5813.13 (58.7±12.43),-5795.21 (17.92±7.44),-5741.96 (53.25±10.47)
