process,null,general,general_geomorph,general_geomorph_forest,general_geomorph_forest_disturbances
Debris-flow,-3393.77 (NA),-3032.78 (360.99±27.1),-3004.9 (27.88±8.68),-2990.35 (14.55±5.57),-2975.8 (14.56±5.68)
Sediment-transport,-6222.54 (NA),-5871.84 (350.71±28.94),-5813.12 (58.72±12.44),-5795.03 (18.09±7.45),-5741.84 (53.19±10.49)
