process,elpd_ws_only_model,elpd_full_model,elpd_dif_ws_full,elpd_dif_se_ws_full
Mud-flow,-2340.5418196556448,-2322.659955139525,17.881864516115197,6.185496786259528
Sediment-flow,-4103.085805804517,-4054.9430951175696,48.14271068696175,10.260399326789608
