process,null,general,general_geomorph,general_geomorph_forest,general_geomorph_forest_disturbances
Debris flow,-2699.59 (NA),-2377.01 (322.58±24.86),-2358.74 (18.27±6.62),-2340.77 (17.97±6.29),-2322.37 (18.41±6.16)
Flood,-4465.13 (NA),-4183.07 (282.06±27.02),-4130.08 (53±10.86),-4102.57 (27.5±7.88),-4054.71 (47.86±10.27)
