process,elpd_ws_only_model,elpd_full_model,elpd_dif_ws_full,elpd_dif_se_ws_full
Debris-flow,-2340.8432163292323,-2322.3951699737504,18.44804635550033,6.152842602893451
Sediment-transport,-4102.915663992156,-4054.8285252808973,48.08713871127189,10.257046250200274
