process,elpd_ws_only_model,elpd_full_model,elpd_dif_ws_full,elpd_dif_se_ws_full,auc_ws_only,auc_full
DCOMBINE,-2341.841851372444,-2324.5130465582033,17.328804814227244,6.147915103547189,0.7578045815936824,0.762266765271388
FST,-4102.516076964522,-4056.786708647488,45.72936831702615,10.155581540574461,0.689511274697331,0.6977471283382197
