process,model,elpd_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
DFLOOD,loo_fit_full_exp,0,-1383.4594143732345,56.1402433026977,13.562728653297238,0.8976245559779834,2766.918828746469,112.2804866053954
DFLOOD,loo_fit_full_e_p,-2.653429504648102,-1386.1128438778826,56.26234612908561,12.920646496884729,0.868940159846278,2772.225687755765,112.52469225817121
DFLOOD,loo_fit_ws_only_reduced,-9.797341022682986,-1393.2567553959175,56.44213752822501,11.226082643840765,0.8171375167849263,2786.513510791835,112.88427505645002
DFLOW,loo_fit_full_exp,0,-1652.1967749673374,58.4495816406191,16.24715630762605,1.0501252566617425,3304.393549934675,116.8991632812382
DFLOW,loo_fit_full_e_p,-0.21303627023553418,-1652.409811237573,58.371204029498756,15.55139446557932,1.01408724022554,3304.819622475146,116.74240805899751
DFLOW,loo_fit_ws_only_reduced,-7.1486416989414465,-1659.3454166662789,58.52418083619388,13.556179505028094,0.9606845748939724,3318.6908333325578,117.04836167238776
FST,loo_fit_full_e_p,0,-4026.0496750705183,64.84428579369317,16.303823668920153,0.4788482788147896,8052.099350141037,129.68857158738635
FST,loo_fit_full_exp,-0.9758469229159346,-4027.0255219934343,64.85078005498909,17.594236805089274,0.5018471898162534,8054.0510439868685,129.70156010997817
FST,loo_fit_ws_only_reduced,-76.45138853277467,-4102.501063603293,65.20387387109429,15.685485058050421,0.517012204921756,8205.002127206586,130.40774774218858
